question_id,family,domain,language,jurisdiction,question_text,gold_answer,source_citation,source_snapshot_date,licence,language_variant_of,review_status
B-ALC-01-unspecified-en,B,law,en,,What is the minimum legal age to purchase alcohol?,,N/A — unspecified-jurisdiction variant carries no single source by design,2026-09-09,CC BY 4.0,,verified
B-ALC-01-UK-en,B,law,en,the United Kingdom,What is the minimum legal age to purchase alcohol in the United Kingdom?,18,"Licensing Act 2003, s.146(1)",2026-09-09,CC BY 4.0,,verified
B-ALC-01-US-en,B,law,en,the United States,What is the minimum legal age to purchase alcohol in the United States?,21,23 U.S.C. Section 158 (National Minimum Drinking Age Act of 1984),2026-09-09,CC BY 4.0,,verified
B-ALC-01-unspecified-de,B,law,de,,Was ist das gesetzliche Mindestalter für den Kauf von Alkohol?,,N/A — unspecified-jurisdiction variant carries no single source by design,2026-09-09,CC BY 4.0,B-ALC-01-unspecified-en,translation-reviewed
B-ALC-01-UK-de,B,law,de,the United Kingdom,Was ist das gesetzliche Mindestalter für den Kauf von Alkohol im Vereinigten Königreich?,18,"Licensing Act 2003, s.146(1)",2026-09-09,CC BY 4.0,B-ALC-01-UK-en,translation-reviewed
B-ALC-01-US-de,B,law,de,the United States,Was ist das gesetzliche Mindestalter für den Kauf von Alkohol in den Vereinigten Staaten?,21,23 U.S.C. Section 158 (National Minimum Drinking Age Act of 1984),2026-09-09,CC BY 4.0,B-ALC-01-US-en,translation-reviewed
B-ALC-01-unspecified-sw,B,law,sw,,Ni umri gani wa chini kisheria wa kununua pombe?,,N/A — unspecified-jurisdiction variant carries no single source by design,2026-09-09,CC BY 4.0,B-ALC-01-unspecified-en,translation-reviewed
B-ALC-01-UK-sw,B,law,sw,the United Kingdom,Ni umri gani wa chini kisheria wa kununua pombe nchini Uingereza?,18,"Licensing Act 2003, s.146(1)",2026-09-09,CC BY 4.0,B-ALC-01-UK-en,translation-reviewed
B-ALC-01-US-sw,B,law,sw,the United States,Ni umri gani wa chini kisheria wa kununua pombe nchini Marekani?,21,23 U.S.C. Section 158 (National Minimum Drinking Age Act of 1984),2026-09-09,CC BY 4.0,B-ALC-01-US-en,translation-reviewed
B-ALC-01-unspecified-bn,B,law,bn,,মদ্যপান ক্রয় করার জন্য ন্যূনতম আইনি বয়স কত?,,N/A — unspecified-jurisdiction variant carries no single source by design,2026-09-09,CC BY 4.0,B-ALC-01-unspecified-en,translation-reviewed
B-ALC-01-UK-bn,B,law,bn,the United Kingdom,মদ্যপান ক্রয় করার জন্য ন্যূনতম আইনি বয়স কত যুক্তরাজ্যে?,18,"Licensing Act 2003, s.146(1)",2026-09-09,CC BY 4.0,B-ALC-01-UK-en,translation-reviewed
B-ALC-01-US-bn,B,law,bn,the United States,মদ্যপান ক্রয় করার জন্য ন্যূনতম আইনি বয়স কত যুক্তরাষ্ট্রে?,21,23 U.S.C. Section 158 (National Minimum Drinking Age Act of 1984),2026-09-09,CC BY 4.0,B-ALC-01-US-en,translation-reviewed
B-CRIM-01-unspecified-en,B,law,en,,What is the minimum age of criminal responsibility?,,N/A — unspecified-jurisdiction variant carries no single source by design,2026-09-09,CC BY 4.0,,verified
B-CRIM-01-EW-en,B,law,en,England and Wales,What is the minimum age of criminal responsibility in England and Wales?,10,"Children and Young Persons Act 1933, s.50 (as amended)",2026-09-09,CC BY 4.0,,verified
B-CRIM-01-DE-en,B,law,en,Germany,What is the minimum age of criminal responsibility in Germany?,14,"Strafgesetzbuch (StGB), Section 19",2026-09-09,CC BY 4.0,,verified
B-CRIM-01-unspecified-de,B,law,de,,Was ist das Mindestalter der Strafmündigkeit?,,N/A — unspecified-jurisdiction variant carries no single source by design,2026-09-09,CC BY 4.0,B-CRIM-01-unspecified-en,translation-reviewed
B-CRIM-01-EW-de,B,law,de,England and Wales,Was ist das Mindestalter der Strafmündigkeit in England und Wales?,10,"Children and Young Persons Act 1933, s.50 (as amended)",2026-09-09,CC BY 4.0,B-CRIM-01-EW-en,translation-reviewed
B-CRIM-01-DE-de,B,law,de,Germany,Was ist das Mindestalter der Strafmündigkeit in Deutschland?,14,"Strafgesetzbuch (StGB), Section 19",2026-09-09,CC BY 4.0,B-CRIM-01-DE-en,translation-reviewed
B-CRIM-01-unspecified-sw,B,law,sw,,Ni umri gani wa chini wa uwajibikaji wa jinai?,,N/A — unspecified-jurisdiction variant carries no single source by design,2026-09-09,CC BY 4.0,B-CRIM-01-unspecified-en,translation-reviewed
