question_id,family,domain,language,question_text,gold_answer,effective_from,effective_until,source_citation,source_snapshot_date,licence,language_variant_of,review_status
C-CT-01-v1-en,C,tax_law,en,"A UK company has GBP 500,000 of taxable profit for its accounting period. What main rate of Corporation Tax applies to those profits?",19%,,2023-03-31,"GOV.UK, 'Corporation Tax rates and allowances'",2026-09-09,"CC BY 4.0 (project default, pending formal confirmation — DMP Section 5)",,verified
C-CT-01-v2-en,C,tax_law,en,"A UK company has GBP 500,000 of taxable profit for its accounting period. What main rate of Corporation Tax applies to those profits?",25%,2023-04-01,,"GOV.UK, 'Corporation Tax rates and allowances'",2026-09-09,"CC BY 4.0 (project default, pending formal confirmation — DMP Section 5)",,verified
C-CT-01-v1-de,C,tax_law,de,Ein Unternehmen im Vereinigten Königreich hat ein zu versteuerndes Einkommen von 500.000 GBP für seinen Abrechnungszeitraum. Welcher Körperschaftsteuer-Hauptsatz gilt für diesen Gewinn?,19%,,2023-03-31,"GOV.UK, 'Corporation Tax rates and allowances'",2026-09-09,"CC BY 4.0 (project default, pending formal confirmation — DMP Section 5)",C-CT-01-v1-en,candidate-translation
C-CT-01-v2-de,C,tax_law,de,Ein Unternehmen im Vereinigten Königreich hat ein zu versteuerndes Einkommen von 500.000 GBP für seinen Abrechnungszeitraum. Welcher Körperschaftsteuer-Hauptsatz gilt für diesen Gewinn?,25%,2023-04-01,,"GOV.UK, 'Corporation Tax rates and allowances'",2026-09-09,"CC BY 4.0 (project default, pending formal confirmation — DMP Section 5)",C-CT-01-v2-en,candidate-translation
C-CT-01-v1-sw,C,tax_law,sw,"Kampuni ya Uingereza ina faida ya kodi ya GBP 500,000 kwa kipindi chake cha uhasibu. Ni kiwango gani kikuu cha Kodi ya Makampuni (Corporation Tax) kinachotumika kwa faida hiyo?",19%,,2023-03-31,"GOV.UK, 'Corporation Tax rates and allowances'",2026-09-09,"CC BY 4.0 (project default, pending formal confirmation — DMP Section 5)",C-CT-01-v1-en,candidate-translation
C-CT-01-v2-sw,C,tax_law,sw,"Kampuni ya Uingereza ina faida ya kodi ya GBP 500,000 kwa kipindi chake cha uhasibu. Ni kiwango gani kikuu cha Kodi ya Makampuni (Corporation Tax) kinachotumika kwa faida hiyo?",25%,2023-04-01,,"GOV.UK, 'Corporation Tax rates and allowances'",2026-09-09,"CC BY 4.0 (project default, pending formal confirmation — DMP Section 5)",C-CT-01-v2-en,candidate-translation
C-CT-01-v1-bn,C,tax_law,bn,"যুক্তরাজ্যের একটি কোম্পানির হিসাব-বছরে ৫,০০,০০০ জিবিপি করযোগ্য মুনাফা রয়েছে। এই মুনাফার উপর কর্পোরেশন ট্যাক্সের কোন প্রধান হার প্রযোজ্য?",19%,,2023-03-31,"GOV.UK, 'Corporation Tax rates and allowances'",2026-09-09,"CC BY 4.0 (project default, pending formal confirmation — DMP Section 5)",C-CT-01-v1-en,candidate-translation
C-CT-01-v2-bn,C,tax_law,bn,"যুক্তরাজ্যের একটি কোম্পানির হিসাব-বছরে ৫,০০,০০০ জিবিপি করযোগ্য মুনাফা রয়েছে। এই মুনাফার উপর কর্পোরেশন ট্যাক্সের কোন প্রধান হার প্রযোজ্য?",25%,2023-04-01,,"GOV.UK, 'Corporation Tax rates and allowances'",2026-09-09,"CC BY 4.0 (project default, pending formal confirmation — DMP Section 5)",C-CT-01-v2-en,candidate-translation
C-MARRY-01-v1-en,C,family_law,en,"In England and Wales, what is the minimum age at which a 16-year-old could lawfully marry, and under what condition?","16, with parental consent",,2023-02-26,"Marriage Act 1949, s.3 (as it stood before amendment)",2026-09-09,"CC BY 4.0 (project default, pending formal confirmation — DMP Section 5)",,verified
C-MARRY-01-v2-en,C,family_law,en,"In England and Wales, what is the minimum age at which a 16-year-old could lawfully marry, and under what condition?",Not lawful at 16 under any condition — minimum age is 18,2023-02-27,,Marriage and Civil Partnership (Minimum Age) Act 2022,2026-09-09,"CC BY 4.0 (project default, pending formal confirmation — DMP Section 5)",,verified
