question_id,family,domain,language,question_text,gold_answer,language_variant_of,perturbation_type,review_status,source_citation,source_snapshot_date,licence
E-KNOW-01,E,knowledge,en,"The cardiac muscle itself needs a constant supply of oxygen and nutrients, but it cannot absorb them from the blood passing through its own chambers. What circulatory mechanism actually meets this need?",The heart depends on its own blood supply from the coronary vessels.,A-KNOW-01-en,concept-restatement,accepted,Perturbed from li-lab/MMLU-ProX item (A-KNOW-01-en),2026-09-08,MIT (underlying source)
E-KNOW-02,E,knowledge,en,"Plants have no nervous system, yet some show rapid, coordinated responses to a stimulus. What observation is usually cited as evidence that plants can still propagate a signal internally?","The reaction of the sensitive plant, Mimosa pudica, to touch demonstrates that transmission of impulses does indeed occur in plants.",A-KNOW-02-en,concept-restatement,accepted,Perturbed from li-lab/MMLU-ProX item (A-KNOW-02-en),2026-09-08,MIT (underlying source)
E-KNOW-05-en,E,knowledge,en,"In a population, individuals with extreme trait values — both unusually large and unusually small — become less common over generations relative to individuals near the average. What type of natural selection produces this pattern?",Stabilizing selection,A-KNOW-04-en,concept-restatement,accepted,Perturbed from li-lab/MMLU-ProX item (A-KNOW-04-en),2026-09-15,MIT (underlying source)
E-KNOW-05-de,E,knowledge,de,In einer Population werden Individuen mit extremen Merkmalsausprägungen — sowohl ungewöhnlich große als auch ungewöhnlich kleine — im Laufe der Generationen im Vergleich zu Individuen nahe dem Durchschnitt seltener. Welche Art der natürlichen Selektion erzeugt dieses Muster?,Stabilisierende Selektion,A-KNOW-04-de,concept-restatement,accepted,Perturbed from li-lab/MMLU-ProX item (A-KNOW-04-de),2026-09-15,MIT (underlying source)
E-KNOW-06-en,E,knowledge,en,What two closely related genetic problems make small populations especially prone to a self-reinforcing decline toward extinction?,Inbreeding and loss of genetic variation,A-KNOW-05-en,concept-restatement,accepted,Perturbed from li-lab/MMLU-ProX item (A-KNOW-05-en),2026-09-15,MIT (underlying source)
E-KNOW-06-de,E,knowledge,de,Welche zwei eng miteinander verbundenen genetischen Probleme machen kleine Populationen besonders anfällig für einen sich selbst verstärkenden Rückgang bis hin zum Aussterben?,Inzucht und Verlust genetischer Variation,A-KNOW-05-de,concept-restatement,accepted,Perturbed from li-lab/MMLU-ProX item (A-KNOW-05-de),2026-09-15,MIT (underlying source)
E-KNOW-07-en,E,knowledge,en,"Which metabolic pathway allows glycolysis to keep producing ATP under anaerobic conditions, by regenerating the NAD+ that glycolysis itself consumes?",Fermentation,A-KNOW-07-en,concept-restatement,accepted,Perturbed from li-lab/MMLU-ProX item (A-KNOW-07-en),2026-09-15,MIT (underlying source)
E-KNOW-07-de,E,knowledge,de,"Welcher Stoffwechselweg ermöglicht es der Glykolyse, unter anaeroben Bedingungen weiterhin ATP zu produzieren, indem er das von der Glykolyse selbst verbrauchte NAD+ regeneriert?",Gärung,A-KNOW-07-de,concept-restatement,accepted,Perturbed from li-lab/MMLU-ProX item (A-KNOW-07-de),2026-09-15,MIT (underlying source)
E-KNOW-08-en,E,knowledge,en,"Evolutionary change happens through shifts in the genetic makeup of a population, not within any single organism during its own lifetime. What is the actual unit that changes when natural selection acts?",A population's gene (allele) frequency,A-KNOW-08-en,concept-restatement,accepted,Perturbed from li-lab/MMLU-ProX item (A-KNOW-08-en),2026-09-15,MIT (underlying source)
E-KNOW-08-de,E,knowledge,de,"Evolutionärer Wandel entsteht durch Verschiebungen in der genetischen Zusammensetzung einer Population, nicht innerhalb eines einzelnen Organismus während seiner eigenen Lebenszeit. Was ist die tatsächliche Einheit, die sich ändert, wenn natürliche Selektion wirkt?",Die Genfrequenz (Allelfrequenz) einer Population,A-KNOW-08-de,concept-restatement,accepted,Perturbed from li-lab/MMLU-ProX item (A-KNOW-08-de),2026-09-15,MIT (underlying source)
E-KNOW-09-en,E,knowledge,en,"How does the nervous system encode how strong a sensory stimulus is, given that individual action potentials are all the same size?",By varying the number of action potentials fired per second (firing rate),A-KNOW-16-en,concept-restatement,accepted,Perturbed from li-lab/MMLU-ProX item (A-KNOW-16-en),2026-09-15,MIT (underlying source)
E-KNOW-09-de,E,knowledge,de,"Wie kodiert das Nervensystem, wie stark ein sensorischer Reiz ist, obwohl einzelne Aktionspotentiale alle gleich groß sind?",Durch die Variation der Anzahl der Aktionspotentiale pro Sekunde (Feuerungsrate),A-KNOW-16-de,concept-restatement,accepted,Perturbed from li-lab/MMLU-ProX item (A-KNOW-16-de),2026-09-15,MIT (underlying source)
E-KNOW-10-en,E,knowledge,en,"In meiosis, homologous chromosomes separate during the first division, but sister chromatids of each chromosome stay joined through that division. At which division do sister chromatids themselves actually separate?",Meiosis II,A-KNOW-06-en,concept-restatement,candidate,Perturbed from li-lab/MMLU-ProX item (A-KNOW-06-en),2026-09-16,MIT (underlying source)
E-KNOW-10-de,E,knowledge,de,"Bei der Meiose trennen sich die homologen Chromosomen während der ersten Teilung, doch die Schwesterchromatiden eines Chromosoms bleiben während dieser Teilung noch verbunden. Bei welcher Teilung trennen sich die Schwesterchromatiden selbst?",Meiose II,A-KNOW-06-de,concept-restatement,candidate,Perturbed from li-lab/MMLU-ProX item (A-KNOW-06-de),2026-09-16,MIT (underlying source)
E-KNOW-11-en,E,knowledge,en,"A reversible reaction A + B -> C, catalyzed by an enzyme, is at equilibrium. Without changing temperature or pressure, what change to the reaction mixture would push it to produce more of product C?",Removing some of product C,A-KNOW-09-en,concept-restatement,candidate,Perturbed from li-lab/MMLU-ProX item (A-KNOW-09-en),2026-09-16,MIT (underlying source)
E-KNOW-11-de,E,knowledge,de,"Eine reversible Reaktion A + B -> C, katalysiert durch ein Enzym, befindet sich im Gleichgewicht. Welche Veränderung des Reaktionsgemisches - ohne Temperatur oder Druck zu verändern - würde die Reaktion dazu bringen, mehr Produkt C zu bilden?",Entfernen eines Teils des Produkts C,A-KNOW-09-de,concept-restatement,candidate,Perturbed from li-lab/MMLU-ProX item (A-KNOW-09-de),2026-09-16,MIT (underlying source)
E-KNOW-12-en,E,knowledge,en,"During early embryonic development, some organisms' cell divisions cut across the egg's polar axis at an angle, rather than exactly parallel or perpendicular to it. What is this pattern of cleavage called?",Oblique cleavage,A-KNOW-12-en,concept-restatement,candidate,Perturbed from li-lab/MMLU-ProX item (A-KNOW-12-en),2026-09-16,MIT (underlying source)
E-KNOW-12-de,E,knowledge,de,"Bei manchen Organismen verlaufen die frühen Zellteilungen des Embryos schräg zur Polachse der Eizelle, statt genau parallel oder senkrecht dazu. Wie wird dieses Furchungsmuster bezeichnet?",Schiefe Furchung,A-KNOW-12-de,concept-restatement,candidate,Perturbed from li-lab/MMLU-ProX item (A-KNOW-12-de),2026-09-16,MIT (underlying source)
E-KNOW-13-en,E,knowledge,en,"Calcium ions, cAMP, and IP3 all relay a signal inside a cell after a receptor has already been triggered at the cell surface. Acetylcholine also triggers a cellular response, but does it act as one of these intracellular relay molecules, or does it act at the surface receptor itself?","First messenger, not a second messenger",A-KNOW-13-en,concept-restatement,candidate,Perturbed from li-lab/MMLU-ProX item (A-KNOW-13-en),2026-09-16,MIT (underlying source)
E-KNOW-13-de,E,knowledge,de,"Kalziumionen, cAMP und Inositol-1,4,5-triphosphat leiten alle ein Signal im Inneren einer Zelle weiter, nachdem ein Rezeptor an der Zelloberfläche bereits aktiviert wurde. Acetylcholin löst ebenfalls eine zelluläre Reaktion aus - wirkt es dabei als eines dieser intrazellulären Botenstoffe, oder wirkt es am Oberflächenrezeptor selbst?","Erster Botenstoff, nicht zweiter Botenstoff",A-KNOW-13-de,concept-restatement,candidate,Perturbed from li-lab/MMLU-ProX item (A-KNOW-13-de),2026-09-16,MIT (underlying source)
