question_id,family,domain,variety,question_text,option_0,option_1,option_2,option_3,option_4,option_5,option_6,option_7,option_8,option_9,gold_answer,language_variant_of,conversion_list_version,source_citation,source_snapshot_date,licence
F-KNOW-01-UK,F,knowledge,UK,The heart does not extract oxygen and nutrients from the blood within the atria and ventricles. How is the heart sup-plied with its metabolic needs?,The heart synthesises its own nutrients internally without reliance on external sources.,The heart relies on neural control for its metabolic needs.,The heart extracts nutrients from the atria and ventricles.,The heart's metabolic needs are met by the lymphatic system.,The heart depends on its own blood supply from the coronary vessels.,The heart utilises osmosis to draw nutrients from the surrounding tissues.,The heart absorbs nutrients directly from the pericardial fluid.,The heart gets its metabolic needs from the lungs.,The heart is supplied by diffusion of nutrients from the bloodstream within the chambers.,The heart receives its metabolic needs from the aorta directly.,E,A-KNOW-01-en,"Study Protocol Appendix A.2, protocol v0.20",Derived from li-lab/MMLU-ProX item (A-KNOW-01-en) via documented US->UK conversion list,2026-09-08,MIT (underlying source)
F-KNOW-01-AU,F,knowledge,AU,The heart does not extract oxygen and nutrients from the blood within the atria and ventricles. How is the heart sup-plied with its metabolic needs?,The heart synthesises its own nutrients internally without reliance on external sources.,The heart relies on neural control for its metabolic needs.,The heart extracts nutrients from the atria and ventricles.,The heart's metabolic needs are met by the lymphatic system.,The heart depends on its own blood supply from the coronary vessels.,The heart utilises osmosis to draw nutrients from the surrounding tissues.,The heart absorbs nutrients directly from the pericardial fluid.,The heart gets its metabolic needs from the lungs.,The heart is supplied by diffusion of nutrients from the bloodstream within the chambers.,The heart receives its metabolic needs from the aorta directly.,E,A-KNOW-01-en,"Study Protocol Appendix A.2, protocol v0.20",Derived from li-lab/MMLU-ProX item (A-KNOW-01-en) via documented US->AU conversion list,2026-09-08,MIT (underlying source)
F-KNOW-02-UK,F,knowledge,UK,"A researcher is experimenting with nerve transmission using neurons from a giant squid. At the beginning of the experiment, the axon is at rest and has a threshold measured at –70 mV at 37oC. The axon receives one stimulus that triggers one action potential in the axon. Subsequent stimuli are much stronger. Which of the following statements explains what happens when several strong stimuli are experienced by the axon?",The frequency of the action potential increases.,The strength of the action potential decreases.,The axon becomes depolarised to +50 mV.,The axon becomes depolarised to –30 mV.,The strength of the action potential becomes greater.,The axon becomes hyperpolarised to –100 mV.,The frequency of the action potential decreases.,The axon becomes hyperpolarised to –90 mV.,The axon becomes hyperpolarised to –50 mV.,The axon remains at rest at –70 mV despite the stimuli.,A,A-KNOW-10-en,"Study Protocol Appendix A.2, protocol v0.28 (corpus-v0.3 expansion, 2026-09-15)",Derived from li-lab/MMLU-ProX item (A-KNOW-10-en) via documented US->UK conversion list,2026-09-15,MIT (underlying source)
F-KNOW-02-AU,F,knowledge,AU,"A researcher is experimenting with nerve transmission using neurons from a giant squid. At the beginning of the experiment, the axon is at rest and has a threshold measured at –70 mV at 37oC. The axon receives one stimulus that triggers one action potential in the axon. Subsequent stimuli are much stronger. Which of the following statements explains what happens when several strong stimuli are experienced by the axon?",The frequency of the action potential increases.,The strength of the action potential decreases.,The axon becomes depolarised to +50 mV.,The axon becomes depolarised to –30 mV.,The strength of the action potential becomes greater.,The axon becomes hyperpolarised to –100 mV.,The frequency of the action potential decreases.,The axon becomes hyperpolarised to –90 mV.,The axon becomes hyperpolarised to –50 mV.,The axon remains at rest at –70 mV despite the stimuli.,A,A-KNOW-10-en,"Study Protocol Appendix A.2, protocol v0.28 (corpus-v0.3 expansion, 2026-09-15)",Derived from li-lab/MMLU-ProX item (A-KNOW-10-en) via documented US->AU conversion list,2026-09-15,MIT (underlying source)
F-KNOW-03-UK,F,knowledge,UK,"A species of small rodent eats seeds from only one species of pine. In normal years, a pair of these rodents will have a litter of two or three. It is unusual for small rodents to have such small litter sizes. The rodents are most likely to exhibit which other characteristic?",Precocial young,Nocturnal behaviour,Herbivorous diet,High birth rate,Solitary behaviour,High parental investment,Large body size,Frequent extrapair matings,Moderate sexual size dimorphism,Low survival rate,F,A-KNOW-15-en,"Study Protocol Appendix A.2, protocol v0.28 (corpus-v0.3 expansion, 2026-09-15)",Derived from li-lab/MMLU-ProX item (A-KNOW-15-en) via documented US->UK conversion list,2026-09-15,MIT (underlying source)
F-KNOW-03-AU,F,knowledge,AU,"A species of small rodent eats seeds from only one species of pine. In normal years, a pair of these rodents will have a litter of two or three. It is unusual for small rodents to have such small litter sizes. The rodents are most likely to exhibit which other characteristic?",Precocial young,Nocturnal behaviour,Herbivorous diet,High birth rate,Solitary behaviour,High parental investment,Large body size,Frequent extrapair matings,Moderate sexual size dimorphism,Low survival rate,F,A-KNOW-15-en,"Study Protocol Appendix A.2, protocol v0.28 (corpus-v0.3 expansion, 2026-09-15)",Derived from li-lab/MMLU-ProX item (A-KNOW-15-en) via documented US->AU conversion list,2026-09-15,MIT (underlying source)
F-KNOW-04-UK,F,knowledge,UK,How is the human eye regulated for far and near vision? In what respects does the frog eye differ in these regulatory mechanisms ?,"The human eye uses the cornea to focus for far and near vision, while the frog's eye uses the lens.","The human eye moves the lens forward or backward for focus, while frog's eye changes the curvature of the lens.",Both human and frog's eyes focus objects by moving the lens forward or backward.,"The human eye adjusts the pupil size for focus, while the frog's eye uses the retina.",Both human and frog's eyes use the adjustment of pupil size to regulate vision for far and near objects.,Both human and frog's eyes focus objects by changing the shape of the lens.,"The human eye changes the curvature of the lens to focus, while frog's eye moves the lens forward or backward for focus.","The human eye relies on the eyelids to focus, while the frog's eye alters the light intensity.","The human eye utilises a secondary lens for focus, while the frog's eye relies solely on the primary lens.","The human eye changes the distance between the lens and the retina, while the frog's eye uses the iris to focus.",G,A-KNOW-19-en,"Study Protocol Appendix A.2, protocol v0.28 (corpus-v0.3 expansion, 2026-09-15)",Derived from li-lab/MMLU-ProX item (A-KNOW-19-en) via documented US->UK conversion list,2026-09-15,MIT (underlying source)
F-KNOW-04-AU,F,knowledge,AU,How is the human eye regulated for far and near vision? In what respects does the frog eye differ in these regulatory mechanisms ?,"The human eye uses the cornea to focus for far and near vision, while the frog's eye uses the lens.","The human eye moves the lens forward or backward for focus, while frog's eye changes the curvature of the lens.",Both human and frog's eyes focus objects by moving the lens forward or backward.,"The human eye adjusts the pupil size for focus, while the frog's eye uses the retina.",Both human and frog's eyes use the adjustment of pupil size to regulate vision for far and near objects.,Both human and frog's eyes focus objects by changing the shape of the lens.,"The human eye changes the curvature of the lens to focus, while frog's eye moves the lens forward or backward for focus.","The human eye relies on the eyelids to focus, while the frog's eye alters the light intensity.","The human eye utilises a secondary lens for focus, while the frog's eye relies solely on the primary lens.","The human eye changes the distance between the lens and the retina, while the frog's eye uses the iris to focus.",G,A-KNOW-19-en,"Study Protocol Appendix A.2, protocol v0.28 (corpus-v0.3 expansion, 2026-09-15)",Derived from li-lab/MMLU-ProX item (A-KNOW-19-en) via documented US->AU conversion list,2026-09-15,MIT (underlying source)
F-KNOW-05-UK,F,knowledge,UK,"A women feeds her new cat daily with canned cat food. As she opens the cans with a noisy electric can opener, she calls the cat. The cat comes in response, to its name, and the woman feeds it. Why does the cat eventually come running when it hears the electric can opener?",The cat believes that the can opener itself is a toy.,The cat has learned that the can opener noise means someone is in the kitchen.,The cat recognises the can opener as a signal that its owner is nearby.,The cat enjoys the routine of the feeding process and the sound signifies the start.,The cat is trained to respond to the sound of the can opener.,The cat is attracted by the noise of the can opener.,The cat likes the sound of the can opener.,The cat has associated the sound of the can opener with the presentation of food.,The cat is curious about the source of the noise and comes to investigate.,The cat has been conditioned to come for a treat whenever it hears any electrical appliance.,H,A-KNOW-20-en,"Study Protocol Appendix A.2, protocol v0.28 (corpus-v0.3 expansion, 2026-09-15)",Derived from li-lab/MMLU-ProX item (A-KNOW-20-en) via documented US->UK conversion list,2026-09-15,MIT (underlying source)
F-KNOW-05-AU,F,knowledge,AU,"A women feeds her new cat daily with canned cat food. As she opens the cans with a noisy electric can opener, she calls the cat. The cat comes in response, to its name, and the woman feeds it. Why does the cat eventually come running when it hears the electric can opener?",The cat believes that the can opener itself is a toy.,The cat has learned that the can opener noise means someone is in the kitchen.,The cat recognises the can opener as a signal that its owner is nearby.,The cat enjoys the routine of the feeding process and the sound signifies the start.,The cat is trained to respond to the sound of the can opener.,The cat is attracted by the noise of the can opener.,The cat likes the sound of the can opener.,The cat has associated the sound of the can opener with the presentation of food.,The cat is curious about the source of the noise and comes to investigate.,The cat has been conditioned to come for a treat whenever it hears any electrical appliance.,H,A-KNOW-20-en,"Study Protocol Appendix A.2, protocol v0.28 (corpus-v0.3 expansion, 2026-09-15)",Derived from li-lab/MMLU-ProX item (A-KNOW-20-en) via documented US->AU conversion list,2026-09-15,MIT (underlying source)
